District_Name,SCHOOL,Gender,2011,2012,2013,2014,2015
KYEGEGWA,WEKOMIIRE SECONDARY SCHOOL,FEMALE,1,6,20,5,7
KYEGEGWA,,MALE,18,34,58,9,20
WAKISO,"AFRICA SECONDARY SCHOOL,KAMPALA",FEMALE,17,28,36,13,17
WAKISO,,MALE,14,24,34,16,14
WAKISO,"AFRICANA HIGH SCHOOL,KIBIRI",FEMALE,,,40,26,4
WAKISO,,MALE,,,24,12,22
WAKISO,AGGREY MEMORIAL SECONDARY SCHOOL,FEMALE,10,16,48,26,32
WAKISO,,MALE,18,24,64,34,44
WAKISO,AGROLINKS ACADEMY,FEMALE,23,38,42,14,21
WAKISO,,MALE,37,34,88,24,39
WAKISO,"AIDAN COLLEGE,KAMPALA",FEMALE,28,21,68,24,28
WAKISO,,MALE,38,36,76,26,29
WAKISO,"AIRFORCE SECONDARY SCHOOL,ENTEBBE",FEMALE,22,33,102,29,18
WAKISO,,MALE,48,64,152,84,45
WAKISO,"ALLIANCE HIGH SCHOOL,NANSANA",FEMALE,46,69,138,57,67
WAKISO,,MALE,59,71,96,90,80
WAKISO,"ANGEL HIGH SCHOOL,LWEZA",FEMALE,27,20,50,28,12
WAKISO,,MALE,18,38,44,14,11
WAKISO,ANSWAR MUSLIM HIGH SCHOOL,FEMALE,19,25,92,21,21
WAKISO,,MALE,10,17,48,15,13
WAKISO,"ATLAS HIGH SCHOOL,GAYAZA",FEMALE,58,39,50,24,33
WAKISO,,MALE,63,34,56,31,35
WAKISO,"BAHATI HIGH SCHOOL,LWEZA",FEMALE,10,17,40,17,10
WAKISO,,MALE,12,25,60,36,16
WAKISO,BALIBASEKA SECONDARY SCHOOL,FEMALE,8,11,40,33,35
WAKISO,,MALE,18,20,46,33,27
WAKISO,BANKHILL COLLEGE,FEMALE,21,31,54,18,46
WAKISO,,MALE,24,18,40,29,29
WAKISO,"BETHANY HIGH SCHOOL,NAALYA",FEMALE,49,45,124,42,47
WAKISO,,MALE,61,53,122,58,48
WAKISO,BETHEL COVENANT COLLEGE,FEMALE,14,25,30,29,33
WAKISO,,MALE,16,15,36,21,49
WAKISO,BILAL ISLAMIC INSTITUTE,FEMALE,33,45,68,21,40
WAKISO,,MALE,56,50,100,59,52
WAKISO,"BOSTON HIGH SCHOOL,MPALA",FEMALE,36,38,80,35,32
WAKISO,,MALE,57,43,70,39,61
WAKISO,"BP.SISTO MAZZOLDI SECONDARY SCHOOL,LWEZA",FEMALE,47,38,60,30,47
WAKISO,,MALE,55,76,96,44,38
